date,platform,post_type,likes,shares,comments,views,,,,,,
06/11/2022,Facebook,image,508,591,272,4693,,,,,,
06/11/2022,Facebook,video,1215,308,474,8671,,,,,,
06/11/2022,Facebook,video,1322,646,204,9782,,,,,,
07/11/2022,Facebook,text,420,636,394,6543,,,,,,
07/11/2022,Twitter,video,1936,282,336,4454,,,,,,
07/11/2022,Facebook,text,1167,594,225,9657,,,,,,
07/11/2022,Twitter,text,1961,855,253,6871,,,,,,
07/11/2022,Facebook,text,446,855,498,4108,,,,,,
07/11/2022,Facebook,image,1010,853,442,6879,,,,,,
07/11/2022,Twitter,image,1351,771,363,6608,,,,,,
07/11/2022,Instagram,video,1521,370,217,4948,,,,,,
08/11/2022,Twitter,video,1244,669,396,9416,,,,,,
08/11/2022,Instagram,text,452,877,335,7517,,,,,,
08/11/2022,Instagram,image,1871,663,278,9288,,,,,,
08/11/2022,Instagram,image,1220,534,301,6609,,,,,,
09/11/2022,Facebook,video,918,252,157,6209,,,,,,
09/11/2022,Instagram,video,2146,553,365,5307,,,,,,
09/11/2022,Facebook,text,1782,653,395,8650,,,,,,
09/11/2022,Twitter,image,789,117,106,8850,,,,,,
09/11/2022,Twitter,image,2156,421,476,4279,,,,,,
09/11/2022,Facebook,video,1168,708,488,9645,,,,,,
09/11/2022,Facebook,video,457,319,492,4349,,,,,,
10/11/2022,Twitter,image,1154,708,273,6227,,,,,,
10/11/2022,Instagram,text,867,398,238,4783,,,,,,
10/11/2022,Instagram,video,1638,842,212,8164,,,,,,
11/11/2022,Facebook,text,1059,676,157,9136,,,,,,
11/11/2022,Facebook,image,580,490,322,4267,,,,,,
11/11/2022,Twitter,image,1845,192,382,4115,,,,,,
11/11/2022,Facebook,text,1807,767,497,5650,,,,,,
12/11/2022,Twitter,text,2012,287,215,9056,,,,,,
12/11/2022,Twitter,text,677,177,211,9726,,,,,,
12/11/2022,Twitter,video,600,617,473,4243,,,,,,
12/11/2022,Instagram,image,1895,446,164,6831,,,,,,
12/11/2022,Twitter,video,516,319,252,6815,,,,,,
12/11/2022,Instagram,image,1840,541,180,6885,,,,,,
12/11/2022,Instagram,image,1519,469,354,4050,,,,,,
12/11/2022,Facebook,image,1436,835,264,6689,,,,,,
12/11/2022,Twitter,image,766,424,162,9857,,,,,,
12/11/2022,Twitter,video,1746,450,273,6583,,,,,,
13/11/2022,Facebook,image,2115,474,455,7908,,,,,,
13/11/2022,Facebook,text,1533,845,108,7910,,,,,,
13/11/2022,Facebook,text,570,452,196,9186,,,,,,
13/11/2022,Instagram,video,2006,193,335,7099,,,,,,
13/11/2022,Instagram,image,2064,885,106,4295,,,,,,
13/11/2022,Facebook,video,2030,539,206,4209,,,,,,
13/11/2022,Facebook,video,1813,584,497,6216,,,,,,
13/11/2022,Instagram,image,2166,254,342,4229,,,,,,
13/11/2022,Twitter,video,423,458,230,6681,,,,,,
13/11/2022,Twitter,image,1652,891,410,8741,,,,,,
14/11/2022,Instagram,text,1118,734,367,8681,,,,,,
14/11/2022,Instagram,image,785,616,453,4486,,,,,,
14/11/2022,Instagram,image,474,817,479,6768,,,,,,
14/11/2022,Instagram,image,2112,374,316,5929,,,,,,
14/11/2022,Twitter,video,1783,543,255,6413,,,,,,
14/11/2022,Facebook,text,2105,899,290,6528,,,,,,
15/11/2022,Facebook,text,600,578,374,5558,,,,,,
15/11/2022,Instagram,text,1383,349,332,6486,,,,,,
15/11/2022,Instagram,video,2095,306,111,7716,,,,,,
15/11/2022,Facebook,text,466,686,463,4594,,,,,,
15/11/2022,Instagram,text,870,348,291,7667,,,,,,
15/11/2022,Facebook,text,817,575,171,5881,,,,,,
15/11/2022,Instagram,text,1549,809,457,5942,,,,,,
16/11/2022,Facebook,text,1861,169,441,7547,,,,,,
16/11/2022,Facebook,image,961,262,350,7459,,,,,,
16/11/2022,Instagram,text,1328,726,470,6454,,,,,,
16/11/2022,Facebook,text,1906,852,343,5595,,,,,,
16/11/2022,Instagram,video,448,640,185,9981,,,,,,
16/11/2022,Facebook,text,1996,795,142,7884,,,,,,
16/11/2022,Facebook,text,974,367,253,4112,,,,,,
17/11/2022,Instagram,text,672,181,119,4265,,,,,,
17/11/2022,Instagram,text,1292,751,201,6506,,,,,,
17/11/2022,Instagram,video,1728,844,377,6945,,,,,,
17/11/2022,Facebook,text,832,213,482,9172,,,,,,
18/11/2022,Twitter,image,912,357,191,8977,,,,,,
18/11/2022,Twitter,text,805,602,137,6910,,,,,,
18/11/2022,Twitter,image,696,545,497,4837,,,,,,
18/11/2022,Instagram,text,1181,168,444,7530,,,,,,
18/11/2022,Facebook,image,900,476,264,8481,,,,,,
18/11/2022,Twitter,text,1802,704,262,4169,,,,,,
18/11/2022,Facebook,image,1665,894,135,6442,,,,,,
19/11/2022,Instagram,video,751,116,270,8123,,,,,,
19/11/2022,Facebook,video,1389,712,192,6896,,,,,,
19/11/2022,Facebook,video,988,662,110,8296,,,,,,
19/11/2022,Instagram,image,1716,549,122,8949,,,,,,
19/11/2022,Twitter,image,1580,270,382,9539,,,,,,
20/11/2022,Instagram,video,1929,136,245,8730,,,,,,
20/11/2022,Facebook,image,1062,799,337,6440,,,,,,
20/11/2022,Twitter,video,1722,356,245,9310,,,,,,
20/11/2022,Twitter,text,867,628,337,7523,,,,,,
21/11/2022,Twitter,text,1814,754,185,4043,,,,,,
21/11/2022,Instagram,text,630,532,140,8841,,,,,,
21/11/2022,Instagram,image,898,792,104,9764,,,,,,
22/11/2022,Facebook,text,1284,805,188,6708,,,,,,
22/11/2022,Twitter,image,1685,539,160,6594,,,,,,
22/11/2022,Instagram,image,1844,130,166,8228,,,,,,
22/11/2022,Facebook,image,447,131,365,5099,,,,,,
22/11/2022,Facebook,video,1825,186,252,6460,,,,,,
22/11/2022,Twitter,image,717,875,228,4388,,,,,,
22/11/2022,Facebook,image,1701,719,467,7982,,,,,,
22/11/2022,Twitter,image,1922,307,149,7533,,,,,,
22/11/2022,Instagram,image,1888,464,105,4552,,,,,,
23/11/2022,Instagram,text,1438,536,350,7241,,,,,,
23/11/2022,Instagram,video,1178,848,203,9207,,,,,,
23/11/2022,Instagram,image,1261,542,364,8537,,,,,,
23/11/2022,Twitter,text,1284,733,244,7352,,,,,,
24/11/2022,Instagram,image,1200,675,325,4348,,,,,,
24/11/2022,Facebook,image,1169,311,265,8102,,,,,,
24/11/2022,Facebook,image,889,162,314,8331,,,,,,
24/11/2022,Facebook,video,767,259,289,8990,,,,,,
24/11/2022,Facebook,video,1734,706,106,7745,,,,,,
24/11/2022,Twitter,video,2188,402,266,7059,,,,,,
25/11/2022,Instagram,video,2045,482,109,8918,,,,,,
25/11/2022,Instagram,text,1835,434,343,6008,,,,,,
25/11/2022,Instagram,text,2052,401,151,4692,,,,,,
26/11/2022,Instagram,text,562,267,256,6301,,,,,,
26/11/2022,Twitter,image,856,122,259,8274,,,,,,
26/11/2022,Twitter,text,2082,465,177,9557,,,,,,
26/11/2022,Facebook,video,1711,318,412,4018,,,,,,
27/11/2022,Facebook,video,1083,304,263,7889,,,,,,
27/11/2022,Facebook,video,492,558,267,8274,,,,,,
27/11/2022,Facebook,text,2155,128,148,7065,,,,,,
28/11/2022,Twitter,image,1486,461,254,4442,,,,,,
28/11/2022,Instagram,video,1932,691,425,4994,,,,,,
28/11/2022,Twitter,image,953,806,474,8074,,,,,,
28/11/2022,Instagram,image,756,149,150,4526,,,,,,
28/11/2022,Twitter,text,1811,233,225,9796,,,,,,
28/11/2022,Twitter,image,1937,758,424,8152,,,,,,
28/11/2022,Twitter,text,1162,342,280,7446,,,,,,
29/11/2022,Instagram,video,1320,395,218,9815,,,,,,
29/11/2022,Twitter,image,670,178,356,8318,,,,,,
29/11/2022,Instagram,text,1092,883,254,7294,,,,,,
29/11/2022,Twitter,image,1915,153,110,5117,,,,,,
29/11/2022,Instagram,image,410,186,359,6355,,,,,,
30/11/2022,Twitter,image,1910,530,431,4818,,,,,,
30/11/2022,Facebook,image,1156,395,455,6757,,,,,,
30/11/2022,Facebook,text,1563,241,296,9807,,,,,,
30/11/2022,Facebook,image,1175,611,183,5616,,,,,,
30/11/2022,Instagram,text,1268,295,380,7415,,,,,,
01/12/2022,Instagram,text,1011,380,174,8422,,,,,,
01/12/2022,Instagram,image,840,786,416,8076,,,,,,
01/12/2022,Twitter,image,454,465,335,8004,,,,,,
01/12/2022,Facebook,image,1568,311,467,7144,,,,,,
01/12/2022,Facebook,video,1446,811,402,7306,,,,,,
01/12/2022,Twitter,image,1913,391,112,6221,,,,,,
01/12/2022,Instagram,text,1242,683,125,4886,,,,,,
02/12/2022,Facebook,video,2114,540,476,4921,,,,,,
02/12/2022,Twitter,image,934,501,254,8947,,,,,,
02/12/2022,Twitter,video,992,877,241,6375,,,,,,
02/12/2022,Twitter,video,867,343,331,5152,,,,,,
02/12/2022,Facebook,video,2115,364,462,8084,,,,,,
02/12/2022,Instagram,image,1336,696,332,4127,,,,,,
02/12/2022,Instagram,video,1855,578,334,5541,,,,,,
03/12/2022,Facebook,video,462,564,258,6522,,,,,,
03/12/2022,Facebook,text,1468,294,187,6256,,,,,,
03/12/2022,Instagram,text,406,521,415,8467,,,,,,
03/12/2022,Twitter,image,1812,270,489,4038,,,,,,
03/12/2022,Instagram,video,1096,577,107,6354,,,,,,
03/12/2022,Twitter,text,1385,579,134,7552,,,,,,
03/12/2022,Facebook,text,583,842,280,7639,,,,,,
03/12/2022,Instagram,image,771,276,459,6118,,,,,,
04/12/2022,Twitter,video,784,525,461,4628,,,,,,
04/12/2022,Twitter,video,1374,880,285,7079,,,,,,
04/12/2022,Twitter,text,1508,101,151,6543,,,,,,
04/12/2022,Twitter,video,981,318,438,6099,,,,,,
05/12/2022,Facebook,video,599,782,190,5729,,,,,,
05/12/2022,Facebook,image,1297,294,259,7699,,,,,,
05/12/2022,Twitter,text,801,782,114,5396,,,,,,
05/12/2022,Instagram,image,1067,355,372,8735,,,,,,
05/12/2022,Twitter,text,792,745,432,6347,,,,,,
06/12/2022,Instagram,image,403,866,412,9538,,,,,,
06/12/2022,Facebook,image,650,247,247,8841,,,,,,
06/12/2022,Instagram,text,2098,318,431,8962,,,,,,
07/12/2022,Twitter,video,1257,636,457,9449,,,,,,
07/12/2022,Twitter,video,803,860,190,9791,,,,,,
07/12/2022,Facebook,image,1153,471,458,5196,,,,,,
07/12/2022,Twitter,image,796,462,286,9556,,,,,,
07/12/2022,Instagram,text,784,310,435,6941,,,,,,
07/12/2022,Instagram,text,1558,231,124,9426,,,,,,
07/12/2022,Twitter,text,1578,731,491,7528,,,,,,
07/12/2022,Facebook,text,1609,804,267,6409,,,,,,
07/12/2022,Twitter,text,1662,229,453,9523,,,,,,
07/12/2022,Facebook,image,1738,654,327,5755,,,,,,
07/12/2022,Twitter,video,1160,241,402,5805,,,,,,
08/12/2022,Instagram,image,851,161,426,4655,,,,,,
08/12/2022,Instagram,image,403,524,306,7570,,,,,,
08/12/2022,Twitter,text,2039,524,186,8285,,,,,,
08/12/2022,Facebook,image,640,308,373,9170,,,,,,
08/12/2022,Facebook,video,618,865,436,8206,,,,,,
08/12/2022,Instagram,image,414,755,380,7846,,,,,,
09/12/2022,Twitter,image,570,837,374,8466,,,,,,
09/12/2022,Instagram,text,2134,785,293,7442,,,,,,
09/12/2022,Facebook,image,1303,536,163,9396,,,,,,
09/12/2022,Facebook,text,1462,668,195,4786,,,,,,
09/12/2022,Facebook,text,683,870,395,7303,,,,,,
09/12/2022,Twitter,image,1094,613,115,4716,,,,,,
09/12/2022,Twitter,video,1852,296,144,6617,,,,,,
10/12/2022,Twitter,text,572,334,468,8130,,,,,,
10/12/2022,Twitter,text,605,531,316,9622,,,,,,
10/12/2022,Instagram,text,2077,617,395,7790,,,,,,
10/12/2022,Twitter,video,474,349,341,5496,,,,,,
10/12/2022,Instagram,image,1306,349,113,8678,,,,,,
10/12/2022,Instagram,text,746,157,193,4752,,,,,,
11/12/2022,Instagram,image,1401,332,341,5814,,,,,,
11/12/2022,Facebook,image,887,182,172,4843,,,,,,
11/12/2022,Twitter,text,1032,139,305,6172,,,,,,
11/12/2022,Twitter,video,1241,261,343,4485,,,,,,
12/12/2022,Facebook,text,1042,821,495,9099,,,,,,
12/12/2022,Instagram,video,945,202,426,8876,,,,,,
12/12/2022,Twitter,text,948,795,485,9737,,,,,,
12/12/2022,Instagram,image,1160,224,454,4287,,,,,,
12/12/2022,Instagram,video,786,353,358,6863,,,,,,
13/12/2022,Facebook,image,1713,468,425,5045,,,,,,
13/12/2022,Twitter,text,988,574,181,5581,,,,,,
13/12/2022,Instagram,video,1437,687,212,4287,,,,,,
13/12/2022,Facebook,text,1974,886,393,7712,,,,,,
13/12/2022,Facebook,video,1161,802,441,8556,,,,,,
13/12/2022,Twitter,text,1158,779,260,7984,,,,,,
13/12/2022,Twitter,video,2021,107,490,8040,,,,,,
14/12/2022,Facebook,video,1437,215,441,7219,,,,,,
14/12/2022,Instagram,text,1207,149,210,9307,,,,,,
15/12/2022,Twitter,text,1785,644,225,9243,,,,,,
15/12/2022,Instagram,image,2099,301,391,5019,,,,,,
15/12/2022,Instagram,video,1371,125,235,7774,,,,,,
15/12/2022,Instagram,video,1784,792,256,4602,,,,,,
15/12/2022,Facebook,text,2140,360,317,5779,,,,,,
16/12/2022,Instagram,text,1943,632,179,8109,,,,,,
16/12/2022,Twitter,text,473,884,432,7694,,,,,,
16/12/2022,Facebook,image,1746,324,491,8531,,,,,,
16/12/2022,Twitter,text,924,707,373,6946,,,,,,
16/12/2022,Facebook,image,1108,522,450,9689,,,,,,
16/12/2022,Twitter,image,955,675,330,5736,,,,,,
16/12/2022,Twitter,video,738,382,207,6090,,,,,,
16/12/2022,Facebook,image,1957,136,119,5049,,,,,,
16/12/2022,Twitter,text,1893,823,152,9659,,,,,,
17/12/2022,Instagram,image,1964,715,500,4621,,,,,,
17/12/2022,Facebook,image,453,687,183,4714,,,,,,
17/12/2022,Instagram,video,519,848,298,9110,,,,,,
18/12/2022,Instagram,video,1778,204,447,9218,,,,,,
18/12/2022,Instagram,text,1950,652,381,4503,,,,,,
18/12/2022,Instagram,video,1769,882,289,5625,,,,,,
18/12/2022,Instagram,video,786,350,237,5597,,,,,,
18/12/2022,Instagram,video,1210,325,140,5150,,,,,,
18/12/2022,Instagram,video,2168,819,167,8180,,,,,,
18/12/2022,Twitter,text,1028,511,230,4993,,,,,,
19/12/2022,Instagram,image,1992,646,102,5646,,,,,,
19/12/2022,Facebook,text,1480,415,202,9584,,,,,,
19/12/2022,Facebook,text,1899,436,226,5539,,,,,,
19/12/2022,Instagram,video,829,636,336,6488,,,,,,
19/12/2022,Facebook,video,1134,343,147,4431,,,,,,
19/12/2022,Facebook,video,1792,660,184,9614,,,,,,
20/12/2022,Facebook,video,426,545,293,7545,,,,,,
20/12/2022,Instagram,text,1431,352,357,8955,,,,,,
20/12/2022,Facebook,image,450,349,312,7377,,,,,,
20/12/2022,Facebook,video,1190,320,319,5108,,,,,,
20/12/2022,Instagram,video,683,370,355,9125,,,,,,
20/12/2022,Facebook,text,909,630,226,4484,,,,,,
20/12/2022,Instagram,video,489,522,446,9614,,,,,,
20/12/2022,Instagram,video,1418,678,309,4145,,,,,,
21/12/2022,Facebook,image,806,809,461,5091,,,,,,
21/12/2022,Facebook,image,1604,787,402,5680,,,,,,
21/12/2022,Twitter,image,1873,718,356,8263,,,,,,
21/12/2022,Instagram,text,1011,650,103,5860,,,,,,
21/12/2022,Instagram,video,1289,783,152,8110,,,,,,
21/12/2022,Instagram,video,1036,783,483,7442,,,,,,
21/12/2022,Instagram,image,1323,509,208,7568,,,,,,
22/12/2022,Instagram,text,2163,130,465,5323,,,,,,
22/12/2022,Twitter,text,2146,416,208,6590,,,,,,
22/12/2022,Twitter,image,1113,193,141,6422,,,,,,
22/12/2022,Instagram,text,1523,258,402,6321,,,,,,
22/12/2022,Facebook,video,1099,715,484,4521,,,,,,
22/12/2022,Facebook,image,1389,417,241,5477,,,,,,
22/12/2022,Instagram,image,2169,107,480,6470,,,,,,
22/12/2022,Twitter,video,2087,282,338,5998,,,,,,
23/12/2022,Twitter,video,1725,686,194,5801,,,,,,
23/12/2022,Instagram,image,561,703,360,4874,,,,,,
23/12/2022,Twitter,video,1528,614,351,4858,,,,,,
23/12/2022,Facebook,video,464,892,457,5526,,,,,,
23/12/2022,Instagram,text,606,810,118,8113,,,,,,
23/12/2022,Twitter,video,1108,221,172,9336,,,,,,
23/12/2022,Instagram,image,2058,659,438,6003,,,,,,
23/12/2022,Instagram,image,572,522,458,6665,,,,,,
23/12/2022,Twitter,text,1343,305,266,9184,,,,,,
23/12/2022,Twitter,text,2100,290,422,4723,,,,,,
24/12/2022,Twitter,image,1596,729,429,6794,,,,,,
24/12/2022,Instagram,image,834,177,361,6923,,,,,,
24/12/2022,Instagram,image,558,472,117,4996,,,,,,
25/12/2022,Instagram,image,1036,277,150,9972,,,,,,
25/12/2022,Twitter,text,503,674,387,6841,,,,,,
25/12/2022,Facebook,image,2015,288,149,7264,,,,,,
25/12/2022,Facebook,image,1541,491,388,7509,,,,,,
26/12/2022,Instagram,text,1520,801,269,9595,,,,,,
26/12/2022,Twitter,text,638,358,198,6623,,,,,,
26/12/2022,Facebook,video,438,441,198,6517,,,,,,
26/12/2022,Instagram,text,1155,307,324,7153,,,,,,
26/12/2022,Instagram,text,1454,485,428,4179,,,,,,
26/12/2022,Instagram,text,1209,129,341,4532,,,,,,
26/12/2022,Twitter,text,873,758,328,4757,,,,,,
26/12/2022,Facebook,image,598,590,373,4892,,,,,,
27/12/2022,Twitter,image,508,857,167,7836,,,,,,
27/12/2022,Twitter,video,505,381,343,7264,,,,,,
27/12/2022,Instagram,video,1343,718,409,8055,,,,,,
28/12/2022,Facebook,text,2019,763,445,9926,,,,,,
28/12/2022,Instagram,image,822,755,388,9761,,,,,,
28/12/2022,Instagram,image,1793,849,215,8348,,,,,,
28/12/2022,Twitter,video,720,276,410,6553,,,,,,
28/12/2022,Twitter,text,507,568,338,9859,,,,,,
28/12/2022,Facebook,video,697,187,154,4666,,,,,,
28/12/2022,Facebook,text,1183,666,358,6198,,,,,,
28/12/2022,Facebook,image,1221,120,305,5031,,,,,,
29/12/2022,Facebook,video,1485,770,323,7856,,,,,,
29/12/2022,Twitter,text,461,232,211,4413,,,,,,
30/12/2022,Instagram,text,2096,757,332,5119,,,,,,
30/12/2022,Facebook,video,600,532,375,7956,,,,,,
30/12/2022,Twitter,text,1613,863,366,9897,,,,,,
30/12/2022,Twitter,image,1230,715,173,5757,,,,,,
30/12/2022,Twitter,text,1165,194,178,4193,,,,,,
31/12/2022,Twitter,image,981,606,247,6328,,,,,,
31/12/2022,Facebook,image,1580,150,232,7671,,,,,,
31/12/2022,Twitter,video,459,627,295,7917,,,,,,
31/12/2022,Twitter,text,764,289,346,6923,,,,,,
01/01/2023,Twitter,video,1427,669,140,4111,,,,,,
01/01/2023,Instagram,image,445,360,189,4728,,,,,,
02/01/2023,Facebook,image,645,458,278,7397,,,,,,
02/01/2023,Facebook,video,523,391,357,7180,,,,,,
02/01/2023,Facebook,text,675,422,294,6561,,,,,,
02/01/2023,Twitter,image,1077,120,447,7969,,,,,,
02/01/2023,Facebook,video,1094,761,121,4351,,,,,,
02/01/2023,Instagram,image,1121,387,493,6094,,,,,,
02/01/2023,Instagram,text,1512,375,344,4555,,,,,,
02/01/2023,Facebook,image,1056,459,176,4877,,,,,,
02/01/2023,Facebook,text,936,601,297,9818,,,,,,
02/01/2023,Facebook,text,1795,512,146,7880,,,,,,
02/01/2023,Facebook,image,548,437,379,8831,,,,,,
03/01/2023,Twitter,image,1835,304,394,4541,,,,,,
03/01/2023,Instagram,text,2160,886,382,6316,,,,,,
03/01/2023,Twitter,image,1376,540,482,9878,,,,,,
